280.96,168.36,201.72
306.55,169.46,204.18
247.00,176.10,63.53
288.98,177.03,172.51
264.72,177.43,188.69
237.71,184.55,140.02
244.83,186.93,80.95
291.29,187.75,204.36
235.40,188.51,71.12
108.83,190.60,28.46
222.96,191.27,139.09
97.01,192.06,41.02
79.43,196.43,39.75
237.71,198.26,124.12
95.62,199.00,49.96
295.33,205.54,59.49
119.53,207.66,61.03
89.01,212.21,55.10
290.42,213.42,63.34
268.90,213.89,76.94
208.16,214.60,138.32
446.75,216.11,40.26
216.00,223.00,110.33
443.31,223.56,51.22
322.70,225.87,147.45
214.40,229.61,131.90
341.38,229.70,156.18
161.51,237.01,45.05
301.85,237.55,141.50
229.46,238.17,199.40
221.42,239.56,126.07
226.10,240.44,171.19
236.34,240.84,148.37
213.46,241.43,138.61
301.97,242.99,115.75
293.69,250.02,111.80
194.13,251.45,64.34
160.08,256.79,54.18
300.19,257.77,103.93
225.68,259.42,230.70
380.03,265.15,190.15
313.70,266.59,204.46
288.17,270.91,122.81
359.88,273.30,188.92
307.34,274.02,212.61
323.81,285.65,198.61
313.26,287.94,189.83
371.58,290.30,125.01
242.48,293.64,197.62
217.46,294.30,187.68
278.69,296.02,149.52
234.27,299.80,231.10
387.14,305.29,98.84
241.40,305.41,241.72
422.25,305.64,66.99
218.48,306.41,202.53
296.19,310.13,364.36
232.85,311.66,203.68
333.24,313.42,187.46
314.29,313.98,438.76
227.51,315.36,251.85
331.81,316.81,159.90
390.36,317.94,89.33
246.79,318.02,146.29
285.93,321.25,355.28
204.61,321.80,163.83
301.24,324.68,341.71
334.11,327.50,150.60
283.43,328.26,338.67
282.58,329.04,349.47
269.18,329.82,203.91
283.78,332.45,176.25
203.78,335.03,71.46
212.86,336.67,83.74
273.84,336.85,322.19
346.55,338.93,153.01
233.97,339.12,262.87
321.88,344.28,176.54
254.14,345.42,238.34
248.94,357.82,168.96
238.34,358.95,183.20
201.11,360.04,84.54
256.39,360.15,228.84
207.29,362.91,77.59
205.76,364.68,99.38
247.73,367.76,164.48
268.70,373.67,177.24
240.50,376.00,212.50
244.50,377.58,172.64
269.77,380.43,167.47
306.64,385.29,168.06
319.15,396.19,175.84
326.73,417.11,185.71
312.81,427.03,183.53
